"province","year","scope1_total","gdp_100m_yuan","ci","ln_ci","d_ln_ci"
"Ningxia",2010,97.9151904224545,1595.3,0.0613772898028299,-2.79071538516698,-0.0143557541962527
"Ningxia",2011,139.837826326354,1959.3,0.0713713195153137,-2.63985917779521,0.15085620737177
"Ningxia",2012,136.586139015751,2162,0.0631758274818458,-2.76183352754521,-0.121974349750001
"Ningxia",2013,144.108362423488,2364.9,0.060936345056234,-2.79792548332702,-0.0360919557818087
"Ningxia",2014,144.572756369138,2516.4,0.0574522160106254,-2.85680170257445,-0.0588762192474275
"Ningxia",2015,141.821275481159,2644.7,0.0536247118694594,-2.92574527481209,-0.0689435722376381
"Ningxia",2016,139.49294795748,2853.3,0.0488882865305017,-3.01821745044896,-0.0924721756368792
"Ningxia",2017,178.62443190329,3271.6,0.0545984936738263,-2.9077489850033,0.110468465445659
"Ningxia",2018,191.589038029348,3580.6,0.0535075233283102,-2.92793301200759,-0.0201840270042832
"Ningxia",2019,212.413783553335,3841.5,0.055294490056836,-2.89508201272655,0.0328509992810422
"Ningxia",2020,225.910830195951,4036.2,0.0559711684742955,-2.88291856950037,0.0121634432261772
"Ningxia",2021,235.318051076706,4666.5,0.0504270976270665,-2.98722659705682,-0.104308027556451
"Qinghai",2008,31.5743831821182,909.2,0.0347276541818282,-3.36021895894078,NA
"Qinghai",2009,33.4567010245663,953.3,0.0350956687554456,-3.34967755340514,0.0105414055356388
"Qinghai",2010,32.011273447716,1160.8,0.0275769068295279,-3.59077656557052,-0.241099012165385
