"province","year","gdp_100m_yuan","population_10k","gdp_percap","ln_gdp_percap"
"Yunnan",2008,6120.6,4543,13472.5952014088,9.50841291613331
"Yunnan",2009,6690.2,4571,14636.1846423102,9.59125214168607
"Yunnan",2010,7869.9,4602,17101.0430247718,9.74689473623129
"Yunnan",2011,9666.2,4620,20922.5108225108,9.94858093117351
"Yunnan",2012,11266.3,4631,24328.0069099547,10.0993835133902
"Yunnan",2013,13027,4641,28069.3815987934,10.2424346384326
"Yunnan",2014,14275.1,4653,30679.3466580701,10.3313449598851
"Yunnan",2015,15358.6,4663,32937.1649152906,10.4023569318822
"Yunnan",2016,16773.6,4677,35864.0153944836,10.4874897150813
"Yunnan",2017,18864.6,4693,40197.3151502237,10.6015554850689
"Yunnan",2018,21427.5,4703,45561.3438230916,10.7268149128042
"Yunnan",2019,23902.1,4714,50704.4972422571,10.8337698886485
"Yunnan",2020,25214.5,4722,53397.9246082169,10.8855271591784
"Yunnan",2021,27895.3,4690,59478.2515991471,10.9933660053732
"Zhejiang",2008,21607.9,5212,41457.981580967,10.6324357012776
"Zhejiang",2009,23227.5,5276,44024.8294162244,10.6925090586544
"Zhejiang",2010,27902.2,5447,51224.8944373049,10.8439809123398
"Zhejiang",2011,32353.1,5570,58084.5601436266,10.9696551612862
"Zhejiang",2012,34978.5,5685,61527.7044854881,11.027242831798
"Zhejiang",2013,38023.3,5784,65738.7621023513,11.0934440168363
"Zhejiang",2014,40744.1,5890,69175.0424448217,11.1443954182411
"Zhejiang",2015,44222,5985,73888.0534670008,11.2103064357762
"Zhejiang",2016,48095.8,6072,79209.1567852437,11.2798471870948
